year,kes_per_usd,fx_lag,fx_depreciation_pct,inflation,reserves_usd,log_reserves,inflation_lag,reserves_lag,reserves_pct_change,fx_dep_z,reserves_change_z,inflation_z,fx_pressure
2008,69.175319816226,67.3176381242857,2.759576455297706,26.2398166445063,2878951355.48375,21.780691952109894,9.75888023027529,3355419015.79063,-14.199945165257134,-0.24214073448390325,-0.5014024992444447,1.9785655177099242,2.2378272824704655
2009,77.352012297579,69.175319816226,11.820245288457704,9.23412592394652,3849500808.92698,22.07120931682055,26.2398166445063,2878951355.48375,33.71190873352387,0.47982358996537955,0.23269735790434262,-0.1724420485330912,0.07468418352794573
2010,79.2331517045454,77.352012297579,2.431920451829394,3.96138889115385,4320858499.01272,22.186719946082224,9.23412592394652,3849500808.92698,12.244644526185398,-0.26824873484807177,-0.09622156936729437,-0.8393774549635241,-1.0114046204443015
2011,88.8107699710456,79.2331517045454,12.08789258089143,14.0224913014704,4265145709.81446,22.173742181389585,3.96138889115385,4320858499.01272,-1.2893916616568262,0.5011500284690593,-0.30358849891944584,0.4332263907110465,1.2379649180995518
2012,84.5296017573529,88.8107699710456,-4.8205507227202915,9.37777003547598,5711831324.95431,22.465805531602705,14.0224913014704,4265145709.81446,33.918785278798445,-0.8461338279395434,0.23586709628796557,-0.15427286176947633,-1.2362737859969855
2013,86.1228788982654,84.5296017573529,1.8848747749765637,5.71749357037733,6598881868.91412,22.61016605782576,9.37777003547598,5711831324.95431,15.530054959508192,-0.31183795213482834,-0.04588289253644937,-0.6172521373745349,-0.8832071969729138
2014,87.9221638089727,86.1228788982654,2.0892066472054958,6.87815499275949,7874414432.36248,22.78688466109819,5.71749357037733,6598881868.91412,19.32952564974854,-0.2955565578124438,0.012332155807096516,-0.4704429578819288,-0.7783316715014691
2015,98.1784533265271,87.9221638089727,11.665192339713236,6.58215429284779,7514864907.05536,22.74014888355003,6.87815499275949,7874414432.36248,-4.5660477791140135,0.4674687959148031,-0.3537930431400196,-0.507883350958908,0.31337848809591473
2016,101.504369498594,98.1784533265271,3.387623311813019,6.29724953814625,7553884912.6237,22.745327825831197,6.58215429284779,7514864907.05536,0.5192376183862762,-0.19209725173049635,-0.27587689128848886,-0.543920245495671,-0.46014060593767847
2017,103.410004519014,101.504369498594,1.87739210620523,8.00564967709945,7325420063.33911,22.714616336736228,6.29724953814625,7553884912.6237,-3.024468229623011,-0.3124341796323838,-0.33017314044421453,-0.3278289566769132,-0.31008999586508246
2018,101.301574049018,103.410004519014,-2.038903759653465,4.6898064677633,8164380806.22987,22.823046725371334,8.00564967709945,7325420063.33911,11.452732206982,-0.6244890567282614,-0.10835515788653073,-0.7472417255528371,-1.2633756243945677
2019,101.99129838935,101.301574049018,0.6808624118695934,5.23963795764792,9115806005.21186,22.933275667411426,4.6898064677633,8164380806.22987,11.653366269442028,-0.40777501686649975,-0.1052810660990945,-0.6776949065300366,-0.9801888572974419
2020,106.450780158517,101.99129838935,4.37241396039788,5.40516207933392,8297263558.90541,22.839191605690562,5.23963795764792,9115806005.21186,-8.979375447859008,-0.1136280207695875,-0.42141353676610577,-0.6567581716456453,-0.34897265564912705
2021,109.637746592367,106.450780158517,2.993840373085329,6.10793603659176,9490896580.9297,22.973598921494432,5.40516207933392,8297263558.90541,14.385863647095684,-0.2234743209704322,-0.06341405884797204,-0.5678660399316092,-0.7279263020540694
2022,117.865989201682,109.637746592367,7.5049359048828315,7.65986268272224,7969488013.00049,22.798886088412896,6.10793603659176,9490896580.9297,-16.03018803288001,0.13597486518909585,-0.5294452677523801,-0.3715666944398711,0.29385343850160484
2023,139.846383759617,117.865989201682,18.64863198180441,7.67139634029402,7341776189.84466,22.716846638015788,7.65986268272224,7969488013.00049,-7.87643851313729,1.0239171526942574,-0.4045144652350011,-0.37010783075059084,1.0583237871786677
2024,134.822483279332,139.846383759617,-3.5924421820735915,4.48978854243448,10066607177.351,23.032489563106996,7.67139634029402,7341776189.84466,37.11405683103496,-0.7482767525707308,0.2848246756586959,-0.7725414959553626,-1.8056429241847893
